Date,Time,Seat,Q_name,Vote,Seq,Tsp,Thead,Vsp,Tisp,SubID,Sex,Age,Weight,Height,BMI,Berstay.sixm,ColdSens,ColdExp,Workhr,Coffeeintake,Dress
4/11/2015,9.4,1,LabThermalAcceptability,1.86,Adapt,20.6,25.2,0.11,0.17,18,Female,20,56.7,1.63,21.3,1,2,2,2.5,0.8,Long
4/11/2015,9.4,1,LabThermalSensation,0.85,Adapt,20.6,25.2,0.11,0.17,18,Female,20,56.7,1.63,21.3,1,2,2,2.5,0.8,Long
4/11/2015,9.4,3,LabThermalAcceptability,0.11,Adapt,18.5,25.1,0.3,0.09,30,Male,18,65.8,1.83,19.6,0,2,2,4,0.5,Long
4/11/2015,9.4,3,LabThermalSensation,0.99,Adapt,18.5,25.1,0.3,0.09,30,Male,18,65.8,1.83,19.6,0,2,2,4,0.5,Long
4/11/2015,9.4,2,LabThermalAcceptability,0.9,Adapt,18.9,25.4,0.24,0.08,38,Male,20,70.3,1.7,24.3,1,3,1,3.9,0,Long
4/11/2015,9.4,2,LabThermalSensation,0.96,Adapt,18.9,25.4,0.24,0.08,38,Male,20,70.3,1.7,24.3,1,3,1,3.9,0,Long
4/11/2015,9.7,2,LabThermalAcceptability,0.02,Adapt,18.9,25.4,0.24,0.08,1,Female,21,61.2,1.65,22.5,1,4,3,4,0,Long
4/11/2015,9.7,2,LabThermalSensation,0.41,Adapt,18.9,25.4,0.24,0.08,1,Female,21,61.2,1.65,22.5,1,4,3,4,0,Long
4/11/2015,9.7,3,LabThermalAcceptability,1.32,Adapt,18.5,25.1,0.3,0.09,9,Male,21,80.7,1.73,27,1,2,2,0,1.5,Long
4/11/2015,9.7,3,LabThermalSensation,-1,Adapt,18.5,25.1,0.3,0.09,9,Male,21,80.7,1.73,27,1,2,2,0,1.5,Long
4/11/2015,10,1,LabThermalAcceptability,0.07,Adapt,20.6,25.2,0.11,0.17,30,Male,18,65.8,1.83,19.6,0,2,2,4,0.5,Long
4/11/2015,10,1,LabThermalSensation,0.45,Adapt,20.6,25.2,0.11,0.17,30,Male,18,65.8,1.83,19.6,0,2,2,4,0.5,Long
4/11/2015,10,3,LabThermalAcceptability,1.67,Adapt,18.5,25.1,0.3,0.09,38,Male,20,70.3,1.7,24.3,1,3,1,3.9,0,Long
4/11/2015,10,3,LabThermalSensation,0.04,Adapt,18.5,25.1,0.3,0.09,38,Male,20,70.3,1.7,24.3,1,3,1,3.9,0,Long
4/11/2015,10.1,2,LabThermalAcceptability,1.83,Adapt,18.9,25.4,0.24,0.08,41,Male,20,75,1.8,23.1,0,3,3,7.9,0,Long
4/11/2015,10.1,2,LabThermalSensation,1.08,Adapt,18.9,25.4,0.24,0.08,41,Male,20,75,1.8,23.1,0,3,3,7.9,0,Long
4/11/2015,10.4,2,LabThermalAcceptability,3,Adapt,18.9,25.4,0.24,0.08,9,Male,21,80.7,1.73,27,1,2,2,0,1.5,Long
4/11/2015,10.4,2,LabThermalSensation,0.03,Adapt,18.9,25.4,0.24,0.08,9,Male,21,80.7,1.73,27,1,2,2,0,1.5,Long
4/11/2015,10.4,1,LabThermalAcceptability,0.07,Adapt,20.6,25.2,0.11,0.17,1,Female,21,61.2,1.65,22.5,1,4,3,4,0,Long
4/11/2015,10.4,1,LabThermalSensation,-0.61,Adapt,20.6,25.2,0.11,0.17,1,Female,21,61.2,1.65,22.5,1,4,3,4,0,Long
4/11/2015,10.7,2,LabThermalAcceptability,0.49,Adapt,18.9,25.4,0.24,0.08,30,Male,18,65.8,1.83,19.6,0,2,2,4,0.5,Long
4/11/2015,10.7,2,LabThermalSensation,0.02,Adapt,18.9,25.4,0.24,0.08,30,Male,18,65.8,1.83,19.6,0,2,2,4,0.5,Long
4/11/2015,10.7,1,LabThermalAcceptability,1.41,Adapt,20.6,25.2,0.11,0.17,38,Male,20,70.3,1.7,24.3,1,3,1,3.9,0,Long
4/11/2015,10.7,1,LabThermalSensation,0.54,Adapt,20.6,25.2,0.11,0.17,38,Male,20,70.3,1.7,24.3,1,3,1,3.9,0,Long
4/11/2015,10.7,3,LabThermalAcceptability,3,Adapt,18.5,25.1,0.3,0.09,41,Male,20,75,1.8,23.1,0,3,3,7.9,0,Long
4/11/2015,10.7,3,LabThermalSensation,0.23,Adapt,18.5,25.1,0.3,0.09,41,Male,20,75,1.8,23.1,0,3,3,7.9,0,Long
4/11/2015,11,3,LabThermalAcceptability,0.07,Adapt,18.5,25.1,0.3,0.09,1,Female,21,61.2,1.65,22.5,1,4,3,4,0,Long
4/11/2015,11,3,LabThermalSensation,-0.39,Adapt,18.5,25.1,0.3,0.09,1,Female,21,61.2,1.65,22.5,1,4,3,4,0,Long
4/11/2015,11,1,LabThermalAcceptability,3,Adapt,20.6,25.2,0.11,0.17,9,Male,21,80.7,1.73,27,1,2,2,0,1.5,Long
4/11/2015,11,1,LabThermalSensation,-1.05,Adapt,20.6,25.2,0.11,0.17,9,Male,21,80.7,1.73,27,1,2,2,0,1.5,Long
4/11/2015,11.4,2,LabThermalAcceptability,3,Adapt,18.9,25.4,0.24,0.08,41,Male,20,75,1.8,23.1,0,3,3,7.9,0,Long
4/11/2015,11.4,2,LabThermalSensation,-0.02,Adapt,18.9,25.4,0.24,0.08,41,Male,20,75,1.8,23.1,0,3,3,7.9,0,Long
4/11/2015,13.4,3,LabThermalAcceptability,0.07,Adapt,18.5,25.1,0.3,0.09,15,Female,23,60,1.68,21.3,1,2,3,1.6,2,Long
4/11/2015,13.4,3,LabThermalSensation,1,Adapt,18.5,25.1,0.3,0.09,15,Female,23,60,1.68,21.3,1,2,3,1.6,2,Long
4/11/2015,13.4,1,LabThermalAcceptability,0.07,Adapt,20.6,25.2,0.11,0.17,4,Male,27,60,1.7,20.8,0,3,2,3.7,0,Long
4/11/2015,13.4,1,LabThermalSensation,0.9,Adapt,20.6,25.2,0.11,0.17,4,Male,27,60,1.7,20.8,0,3,2,3.7,0,Long
4/11/2015,13.4,2,LabThermalAcceptability,3,Adapt,18.9,25.4,0.24,0.08,21,Female,19,56.7,1.55,23.6,1,4,3,4,0.5,Long
4/11/2015,13.4,2,LabThermalSensation,0.51,Adapt,18.9,25.4,0.24,0.08,21,Female,19,56.7,1.55,23.6,1,4,3,4,0.5,Long
4/11/2015,13.7,3,LabThermalAcceptability,3,Adapt,18.5,25.1,0.3,0.09,17,Female,18,45.4,1.6,17.7,1,3,2,7,0.5,Long
4/11/2015,13.7,3,LabThermalSensation,0.66,Adapt,18.5,25.1,0.3,0.09,17,Female,18,45.4,1.6,17.7,1,3,2,7,0.5,Long
4/11/2015,13.7,1,LabThermalAcceptability,3,Adapt,20.6,25.2,0.11,0.17,19,Female,22,56.7,1.57,23,1,2,2,6,0.5,Long
4/11/2015,13.7,1,LabThermalSensation,0.01,Adapt,20.6,25.2,0.11,0.17,19,Female,22,56.7,1.57,23,1,2,2,6,0.5,Long
4/11/2015,13.8,2,LabThermalAcceptability,0.07,Adapt,18.9,25.4,0.24,0.08,36,Female,23,50,1.6,19.5,1,4,4,2.1,0.7,Long
4/11/2015,13.8,2,LabThermalSensation,-0.27,Adapt,18.9,25.4,0.24,0.08,36,Female,23,50,1.6,19.5,1,4,4,2.1,0.7,Long
4/11/2015,14,2,LabThermalAcceptability,1.89,Adapt,18.9,25.4,0.24,0.08,4,Male,27,60,1.7,20.8,0,3,2,3.7,0,Long
4/11/2015,14,2,LabThermalSensation,0.1,Adapt,18.9,25.4,0.24,0.08,4,Male,27,60,1.7,20.8,0,3,2,3.7,0,Long
4/11/2015,14,1,LabThermalAcceptability,0.07,Adapt,20.6,25.2,0.11,0.17,15,Female,23,60,1.68,21.3,1,2,3,1.6,2,Long
4/11/2015,14,1,LabThermalSensation,0.09,Adapt,20.6,25.2,0.11,0.17,15,Female,23,60,1.68,21.3,1,2,3,1.6,2,Long
4/11/2015,14,3,LabThermalAcceptability,2.46,Adapt,18.5,25.1,0.3,0.09,21,Female,19,56.7,1.55,23.6,1,4,3,4,0.5,Long
4/11/2015,14,3,LabThermalSensation,0.11,Adapt,18.5,25.1,0.3,0.09,21,Female,19,56.7,1.55,23.6,1,4,3,4,0.5,Long
4/11/2015,14.4,1,LabThermalAcceptability,2.59,Adapt,20.6,25.2,0.11,0.17,17,Female,18,45.4,1.6,17.7,1,3,2,7,0.5,Long
4/11/2015,14.4,1,LabThermalSensation,-0.08,Adapt,20.6,25.2,0.11,0.17,17,Female,18,45.4,1.6,17.7,1,3,2,7,0.5,Long
4/11/2015,14.4,2,LabThermalAcceptability,0.07,Adapt,18.9,25.4,0.24,0.08,19,Female,22,56.7,1.57,23,1,2,2,6,0.5,Long
4/11/2015,14.4,2,LabThermalSensation,-1.46,Adapt,18.9,25.4,0.24,0.08,19,Female,22,56.7,1.57,23,1,2,2,6,0.5,Long
4/11/2015,14.4,3,LabThermalAcceptability,0.97,Adapt,18.5,25.1,0.3,0.09,36,Female,23,50,1.6,19.5,1,4,4,2.1,0.7,Long
4/11/2015,14.4,3,LabThermalSensation,0.01,Adapt,18.5,25.1,0.3,0.09,36,Female,23,50,1.6,19.5,1,4,4,2.1,0.7,Long
4/11/2015,14.7,3,LabThermalAcceptability,1.89,Adapt,18.5,25.1,0.3,0.09,4,Male,27,60,1.7,20.8,0,3,2,3.7,0,Long
4/11/2015,14.7,3,LabThermalSensation,0.06,Adapt,18.5,25.1,0.3,0.09,4,Male,27,60,1.7,20.8,0,3,2,3.7,0,Long
4/11/2015,14.7,2,LabThermalAcceptability,0.43,Adapt,18.9,25.4,0.24,0.08,15,Female,23,60,1.68,21.3,1,2,3,1.6,2,Long
4/11/2015,14.7,2,LabThermalSensation,0.07,Adapt,18.9,25.4,0.24,0.08,15,Female,23,60,1.68,21.3,1,2,3,1.6,2,Long
4/11/2015,14.7,1,LabThermalAcceptability,2.78,Adapt,20.6,25.2,0.11,0.17,21,Female,19,56.7,1.55,23.6,1,4,3,4,0.5,Long
4/11/2015,14.7,1,LabThermalSensation,-0.27,Adapt,20.6,25.2,0.11,0.17,21,Female,19,56.7,1.55,23.6,1,4,3,4,0.5,Long
4/11/2015,15,2,LabThermalAcceptability,3,Adapt,18.9,25.4,0.24,0.08,17,Female,18,45.4,1.6,17.7,1,3,2,7,0.5,Long
4/11/2015,15,2,LabThermalSensation,0.03,Adapt,18.9,25.4,0.24,0.08,17,Female,18,45.4,1.6,17.7,1,3,2,7,0.5,Long
4/11/2015,15,3,LabThermalAcceptability,3,Adapt,18.5,25.1,0.3,0.09,19,Female,22,56.7,1.57,23,1,2,2,6,0.5,Long
4/11/2015,15,3,LabThermalSensation,-0.11,Adapt,18.5,25.1,0.3,0.09,19,Female,22,56.7,1.57,23,1,2,2,6,0.5,Long
4/11/2015,15,1,LabThermalAcceptability,1.13,Adapt,20.6,25.2,0.11,0.17,36,Female,23,50,1.6,19.5,1,4,4,2.1,0.7,Long
4/11/2015,15,1,LabThermalSensation,0.11,Adapt,20.6,25.2,0.11,0.17,36,Female,23,50,1.6,19.5,1,4,4,2.1,0.7,Long
4/12/2015,9.4,3,LabThermalAcceptability,1.73,Adapt,19.3,25,0.28,0.07,5,Male,20,76,1.8,23.5,1,4,4,5,0,Long
4/12/2015,9.4,3,LabThermalSensation,0.99,Adapt,19.3,25,0.28,0.07,5,Male,20,76,1.8,23.5,1,4,4,5,0,Long
4/12/2015,9.4,1,LabThermalAcceptability,3,Adapt,22.6,25.2,0.1,0.18,35,Female,18,55.8,1.57,22.6,1,1,3,5.9,0.5,Long
4/12/2015,9.4,1,LabThermalSensation,0.03,Adapt,22.6,25.2,0.1,0.18,35,Female,18,55.8,1.57,22.6,1,1,3,5.9,0.5,Long
4/12/2015,9.4,2,LabThermalAcceptability,3,Adapt,20.3,25.2,0.21,0.09,29,Male,28,60,1.73,20,1,4,2,4,0,Long
4/12/2015,9.4,2,LabThermalSensation,0.57,Adapt,20.3,25.2,0.21,0.09,29,Male,28,60,1.73,20,1,4,2,4,0,Long
4/12/2015,9.8,3,LabThermalAcceptability,2.02,Adapt,19.3,25,0.28,0.07,20,Male,20,81.6,1.83,24.4,0,4,2,10,0.8,Long
4/12/2015,9.8,3,LabThermalSensation,0.25,Adapt,19.3,25,0.28,0.07,20,Male,20,81.6,1.83,24.4,0,4,2,10,0.8,Long
4/12/2015,10.1,2,LabThermalAcceptability,0.78,Adapt,20.3,25.2,0.21,0.09,5,Male,20,76,1.8,23.5,1,4,4,5,0,Long
4/12/2015,10.1,2,LabThermalSensation,1.87,Adapt,20.3,25.2,0.21,0.09,5,Male,20,76,1.8,23.5,1,4,4,5,0,Long
4/12/2015,10.1,1,LabThermalAcceptability,2.15,Adapt,22.6,25.2,0.1,0.18,29,Male,28,60,1.73,20,1,4,2,4,0,Long
4/12/2015,10.1,1,LabThermalSensation,-0.6,Adapt,22.6,25.2,0.1,0.18,29,Male,28,60,1.73,20,1,4,2,4,0,Long
4/12/2015,10.1,3,LabThermalAcceptability,-0.24,Adapt,19.3,25,0.28,0.07,35,Female,18,55.8,1.57,22.6,1,1,3,5.9,0.5,Long
4/12/2015,10.1,3,LabThermalSensation,-1,Adapt,19.3,25,0.28,0.07,35,Female,18,55.8,1.57,22.6,1,1,3,5.9,0.5,Long
4/12/2015,10.5,1,LabThermalAcceptability,0.06,Adapt,22.6,25.2,0.1,0.18,6,Male,22,70.3,1.83,21,1,3,3,9,1,Long
4/12/2015,10.5,1,LabThermalSensation,0.01,Adapt,22.6,25.2,0.1,0.18,6,Male,22,70.3,1.83,21,1,3,3,9,1,Long
4/12/2015,10.5,2,LabThermalAcceptability,0.68,Adapt,20.3,25.2,0.21,0.09,20,Male,20,81.6,1.83,24.4,0,4,2,10,0.8,Long
4/12/2015,10.5,2,LabThermalSensation,0.02,Adapt,20.3,25.2,0.21,0.09,20,Male,20,81.6,1.83,24.4,0,4,2,10,0.8,Long
4/12/2015,10.8,1,LabThermalAcceptability,1.32,Adapt,22.6,25.2,0.1,0.18,5,Male,20,76,1.8,23.5,1,4,4,5,0,Long
4/12/2015,10.8,1,LabThermalSensation,-0.84,Adapt,22.6,25.2,0.1,0.18,5,Male,20,76,1.8,23.5,1,4,4,5,0,Long
4/12/2015,10.8,3,LabThermalAcceptability,3,Adapt,19.3,25,0.28,0.07,29,Male,28,60,1.73,20,1,4,2,4,0,Long
4/12/2015,10.8,3,LabThermalSensation,0.01,Adapt,19.3,25,0.28,0.07,29,Male,28,60,1.73,20,1,4,2,4,0,Long
4/12/2015,10.8,2,LabThermalAcceptability,-0.27,Adapt,20.3,25.2,0.21,0.09,35,Female,18,55.8,1.57,22.6,1,1,3,5.9,0.5,Long
